ip,hostname,city,region,country,loc,org,postal,timezone,anycast
61.16.90.170,,Singapore,Singapore,SG,"1.2897,103.8501",AS23856 SPTEL PTE. LTD.,018989,Asia/Singapore,
17.253.57.75,defra3-edge-bx-038.aaplimg.com,Frankfurt am Main,Hesse,DE,"50.1155,8.6842",AS6185 Apple Inc.,60306,Europe/Berlin,
49.1.226.243,,Seoul,Seoul,KR,"37.5660,126.9784",AS7562 HCN Dongjak,03141,Asia/Seoul,
118.243.114.244,y114244.ppp.asahi-net.or.jp,Kumagaya,Saitama,JP,"36.1350,139.3900",AS4685 Asahi Net,360-0016,Asia/Tokyo,
61.92.88.138,061092088138.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
195.32.122.27,host27-122-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
17.253.2.65,usnyc3-edge-get-001.a.aaplimg.com,New York City,New York,US,"40.7143,-74.0060",AS6185 Apple Inc.,10001,America/New_York,
167.89.213.254,,Emory,Texas,US,"32.8746,-95.7655",AS40317 Peoples Communications Inc.,75440,America/Chicago,
77.246.78.25,,Beirut,Beyrouth,LB,"33.8933,35.5016",AS9051 IncoNet Data Management sal,,Asia/Beirut,
110.146.193.127,cpe-110-146-193-127.vb11.vic.asp.telstra.net,Melbourne,Victoria,AU,"-37.8140,144.9633",AS1221 Telstra Corporation Ltd,3000,Australia/Melbourne,
95.102.47.85,adsl-dyn-85.95-102-47.t-com.sk,Vinné,Košický kraj,SK,"48.8096,21.9676","AS6855 Slovak Telekom, a.s.",072 31,Europe/Bratislava,
124.244.1.42,124244001042.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
167.89.220.102,,Emory,Texas,US,"32.8746,-95.7655",AS40317 Peoples Communications Inc.,75440,America/Chicago,
110.144.201.102,cpe-110-144-201-102.vb04.vic.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
162.255.189.45,45.189.255.162.in-addr.arpa.mylandhcp.westco.net,Morgantown,West Virginia,US,"39.6099,-79.9831",AS40794 Westco Internet,26501,America/New_York,
74.131.39.150,cpe-74-131-39-150.kya.res.rr.com,Dayton,Ohio,US,"39.7862,-84.1622",AS10796 Charter Communications Inc,45404,America/New_York,
159.196.198.158,,Melbourne,Victoria,AU,"-37.8140,144.9633",AS4764 Aussie Broadband,3000,Australia/Melbourne,
176.28.29.221,n176-28-29-221.cnet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
199.58.79.58,199-58-79-58.rev.tec.com,Josephine,Texas,US,"33.0612,-96.3072",AS40317 Peoples Communications Inc.,75164,America/Chicago,
195.32.119.106,host106-119-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
185.60.97.232,,Braunschweig,Lower Saxony,DE,"52.2659,10.5267",AS205505 Volkswagen Financial Services AG,38100,Europe/Berlin,
208.123.242.138,dsl-242-138.geneseo.net,Atkinson,Illinois,US,"41.4209,-90.0151",AS15129 Geneseo Telephone Company,61235,America/Chicago,
178.77.121.16,n178-77-121-16.cnet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
137.118.252.173,137-118-252-173.peoplescom.net,Forney,Texas,US,"32.7482,-96.4719",AS40317 Peoples Communications Inc.,75126,America/Chicago,
173.224.17.23,173-224-17-23.ptcnet.net,Pierce,Nebraska,US,"42.1992,-97.5267","AS46328 Four-U Technologies, LLC",68767,America/Chicago,
141.66.193.162,dev-apd-m.fiz-karlsruhe.de,Karlsruhe,Baden-Wurttemberg,DE,"49.0094,8.4044",AS13040 FIZ Karlsruhe - Leibniz-Institut fuer Informationsinfrastruktur GmbH,76133,Europe/Berlin,
